RANK,NAME,TEAM,SALARY
299,Marko Guduric,Memphis Grizzlies,2625000
300,Vincent Poirier,Philadelphia 76ers,2619207
301,Brandon Clarke,Memphis Grizzlies,2602920
302,Precious Achiuwa,Miami Heat,2582160
303,Tyler Herro,Miami Heat,2582160
304,Marc Gasol,Los Angeles Lakers,2564753
305,Nene Hilario,Atlanta Hawks,2564753
306,Grayson Allen,Memphis Grizzlies,2545320
307,Manu Ginobili,San Antonio Spurs,2500000
308,Grant Williams,Boston Celtics,2498760
309,Tyrese Maxey,Philadelphia 76ers,2478840
310,Emeka Okafor,Philadelphia 76ers,2445085
311,Kendrick Perkins,Cleveland Cavaliers,2445085
312,Chandler Hutchison,Washington Wizards,2443440
313,Tyler Zeller,Atlanta Hawks,2436046
314,Aaron Holiday,Indiana Pacers,2345640
315,Darius Bazley,Oklahoma City Thunder,2339160
316,Bryn Forbes,Milwaukee Bucks,2337145
317,Ty Jerome,Oklahoma City Thunder,2303040
318,Zeke Nnaji,Denver Nuggets,2284800
319,Mike Muscala,Oklahoma City Thunder,2283034
320,Ben McLemore,Los Angeles Lakers,2283034
321,Anfernee Simons,Portland Trail Blazers,2252040
322,Brad Wanamaker,Charlotte Hornets,2250000
323,Luke Kornet,Boston Celtics,2250000
324,Brandon Jennings,Milwaukee Bucks,2222803
325,Nassir Little,Portland Trail Blazers,2210640
326,Payton Pritchard,Boston Celtics,2193480
327,R.J. Hampton,Orlando Magic,2193040
328,Edmond Sumner,Indiana Pacers,2160000
329,Dylan Windler,Cleveland Cavaliers,2137440
330,Immanuel Quickley,New York Knicks,2105520
331,John Konchar,Memphis Grizzlies,2100000
332,Landry Shamet,Brooklyn Nets,2090040
333,Jordan Poole,Golden State Warriors,2063280
334,Bol Bol,Denver Nuggets,2058240
335,Sean Kilpatrick,Chicago Bulls,2054856
336,Keldon Johnson,San Antonio Spurs,2048040
337,Robert Williams III,Boston Celtics,2029920
338,Bruno Caboclo,Houston Rockets,2028594
339,Jacob Evans,New York Knicks,2017320
340,Dzanan Musa,Detroit Pistons,2002800
341,Theo Maledon,Oklahoma City Thunder,2000000
342,Kenrich Williams,Oklahoma City Thunder,2000000
343,Damyean Dotson,Cleveland Cavaliers,2000000
344,Gary Clark,Philadelphia 76ers,2000000
345,Omari Spellman,New York Knicks,1988280
346,Cameron Payne,Phoenix Suns,1977011
347,Udoka Azubuike,Utah Jazz,1977000
348,Jaden McDaniels,Minnesota Timberwolves,1964760
349,Malachi Flynn,Toronto Raptors,1950600
350,Desmond Bane,Memphis Grizzlies,1936440
351,Jontay Porter,Memphis Grizzlies,1900000
352,Jahlil Okafor,Detroit Pistons,1882867
353,David Nwaba,Houston Rockets,1824003
354,Marquese Chriss,Golden State Warriors,1824003
355,DeAndre Liggins,Miami Heat,1795015
356,Georges Niang,Utah Jazz,1783557
357,Furkan Korkmaz,Philadelphia 76ers,1762796
358,Damion Lee,Golden State Warriors,1762796
359,Alfonzo McKinnie,Los Angeles Lakers,1762796
360,P.J. Dozier,Denver Nuggets,1762796
361,Abdel Nader,Phoenix Suns,1752950
362,Semi Ojeleye,Boston Celtics,1752950
363,Mario Hezonja,Memphis Grizzlies,1737145
364,DeAndre' Bembry,Toronto Raptors,1737145
365,Kevin Porter Jr.,Houston Rockets,1717981
366,Shake Milton,Philadelphia 76ers,1701593
367,Thanasis Antetokounmpo,Milwaukee Bucks,1701593
368,Brandon Goodwin,Atlanta Hawks,1701593
369,Jonah Bolden,Phoenix Suns,1698450
370,Dwayne Bacon,Orlando Magic,1678854
371,Dragan Bender,Golden State Warriors,1678854
372,Wes Iwundu,New Orleans Pelicans,1678854
373,Isaac Bonga,Washington Wizards,1663861
374,Gary Trent Jr.,Toronto Raptors,1663861
375,Svi Mykhailiuk,Oklahoma City Thunder,1663861
376,Keita Bates-Diop,San Antonio Spurs,1663861
377,Mitchell Robinson,New York Knicks,1663861
378,Bruce Brown,Brooklyn Nets,1663861
379,Duncan Robinson,Miami Heat,1663861
380,Kendrick Nunn,Miami Heat,1663861
381,Hamidou Diallo,Detroit Pistons,1663861
382,Jalen Brunson,Dallas Mavericks,1663861
383,Jarred Vanderbilt,Minnesota Timberwolves,1663361
384,Julyan Stone,Chicago Bulls,1656092
385,MarShon Brooks,Chicago Bulls,1656092
386,Isaiah Thomas,New Orleans Pelicans,1620564
387,Shaquille Harrison,Denver Nuggets,1620564
388,Isaiah Taylor,Toronto Raptors,1620564
389,Raul Neto,Washington Wizards,1620564
390,Hassan Whiteside,Sacramento Kings,1620564
391,Tyler Johnson,Brooklyn Nets,1620564
392,Tyler Lydon,Sacramento Kings,1620564
393,Glenn Robinson III,Sacramento Kings,1620564
394,Drew Eubanks,San Antonio Spurs,1620564
395,Quinn Cook,Cleveland Cavaliers,1620564
396,Frank Kaminsky,Phoenix Suns,1620564
397,Torrey Craig,Phoenix Suns,1620564
398,E'Twaun Moore,Phoenix Suns,1620564
399,Solomon Hill,Atlanta Hawks,1620564
400,Josh Gray,Brooklyn Nets,1620564
401,Wilson Chandler,Brooklyn Nets,1620564
402,Langston Galloway,Phoenix Suns,1620564
