Rank,idPlayer,Team,Player,Salary
207,1628378,Utah Jazz,Donovan Mitchell,5195501
208,,Detroit Pistons,Rodney McGruder,5192307
209,1628389,Miami Heat,Bam Adebayo,5115492
210,1629637,New Orleans Pelicans,Jaxson Hayes,5105160
211,1626158,Sacramento Kings,Richaun Holmes,5005350
212,203118,Philadelphia 76ers,Mike Scott,5005350
213,202334,Minnesota Timberwolves,Ed Davis,5005350
214,,Portland Trail Blazers,Enes Freedom,5005350
215,203901,New York Knicks,Elfrid Payton,5000000
216,203457,New York Knicks,Nerlens Noel,5000000
217,1717,Dallas Mavericks,Dirk Nowitzki,5000000
218,,Chicago Bulls,Daniel Theis,5000000
219,202713,Oklahoma City Thunder,Kyle Singler,4996000
220,1629012,Cleveland Cavaliers,Collin Sexton,4991880
221,1626192,Milwaukee Bucks,Pat Connaughton,4938272
222,1630167,New York Knicks,Obi Toppin,4862040
223,1628367,Detroit Pistons,Josh Jackson,4767000
224,1627739,Atlanta Hawks,Kris Dunn,4767000
225,,Chicago Bulls,Garrett Temple,4767000
226,1629060,Washington Wizards,Rui Hachimura,4692840
227,1627756,Chicago Bulls,Denzel Valentine,4642800
228,1628995,New York Knicks,Kevin Knox II,4588680
229,1628391,Houston Rockets,D.J. Wilson,4548280
230,1630166,Washington Wizards,Deni Avdija,4469160
231,1626172,Golden State Warriors,Kevon Looney,4464226
232,1629629,Atlanta Hawks,Cam Reddish,4458000
233,1628388,Portland Trail Blazers,T.J. Leaf,4326825
234,1630188,Phoenix Suns,Jalen Smith,4245720
235,201580,Denver Nuggets,JaVale McGee,4200000
236,203493,New York Knicks,Reggie Bullock,4200000
237,1628969,Phoenix Suns,Mikal Bridges,4161000
238,1628983,Oklahoma City Thunder,Shai Gilgeous-Alexander,4141320
239,1628381,Atlanta Hawks,John Collins,4137302
240,,Dallas Mavericks,Nicolo Melli,4102564
241,1626161,Dallas Mavericks,Willie Cauley-Stein,4100000
242,1630170,San Antonio Spurs,Devin Vassell,4033440
243,1629661,Phoenix Suns,Cameron Johnson,4033440
244,1629023,Charlotte Hornets,P.J. Washington,4023600
245,1627775,Toronto Raptors,Patrick McCaw,4000000
246,,Dallas Mavericks,Dorian Finney-Smith,4000000
247,1628390,Philadelphia 76ers,Terrance Ferguson,3944013
248,1628970,Charlotte Hornets,Miles Bridges,3934320
249,1628975,Phoenix Suns,Jevon Carter,3925000
250,1628386,Cleveland Cavaliers,Jarrett Allen,3909902
251,1628384,Toronto Raptors,OG Anunoby,3872215
252,,Oklahoma City Thunder,Gabriel Deck,3870370
253,1630169,Sacramento Kings,Tyrese Haliburton,3831840
254,1626169,Toronto Raptors,Stanley Johnson,3804150
255,1627774,Minnesota Timberwolves,Jake Layman,3761085
256,1629010,Washington Wizards,Jerome Robinson,3737520
257,,Houston Rockets,Danuel House Jr.,3717000
258,1630184,New Orleans Pelicans,Kira Lewis Jr.,3640200
259,1629641,Boston Celtics,Romeo Langford,3631200
260,203090,Sacramento Kings,Maurice Harkless,3623000
261,1626171,Milwaukee Bucks,Bobby Portis,3623000
262,,Los Angeles Lakers,Wesley Matthews,3623000
263,1628398,Los Angeles Lakers,Kyle Kuzma,3562178
264,,New York Knicks,Allonzo Trier,3551000
265,1629008,Denver Nuggets,Michael Porter Jr.,3550800
266,1628396,Oklahoma City Thunder,Tony Bradley,3542060
267,1628401,San Antonio Spurs,Derrick White,3516284
268,202687,Charlotte Hornets,Bismack Biyombo,3500000
269,201563,Brooklyn Nets,Michael Beasley,3500000
270,,Milwaukee Bucks,Luca Vildoza,3500000
271,,Indiana Pacers,T.J. McConnell,3500000
272,,Dallas Mavericks,Boban Marjanovic,3500000
273,1628404,New Orleans Pelicans,Josh Hart,3491159
274,1630174,Boston Celtics,Aaron Nesmith,3458400
275,1629635,Detroit Pistons,Sekou Doumbouya,3449400
276,203487,Orlando Magic,Michael Carter-Williams,3300000
277,203516,Orlando Magic,James Ennis III,3300000
278,1630175,Orlando Magic,Cole Anthony,3285120
279,1628972,Chicago Bulls,Troy Brown Jr.,3219480
280,,Denver Nuggets,Facundo Campazzo,3200000
281,1629643,Orlando Magic,Chuma Okeke,3121080
282,1630191,Detroit Pistons,Isaiah Stewart,3121080
283,1629638,New Orleans Pelicans,Nickeil Alexander-Walker,3113160
284,202335,LA Clippers,Patrick Patterson,3077704
285,1628978,Milwaukee Bucks,Donte DiVincenzo,3044160
286,,Toronto Raptors,Khem Birch,3000000
287,,Chicago Bulls,Ryan Arcidiacono,3000000
288,203504,Dallas Mavericks,Trey Burke,3000000
289,1630197,Oklahoma City Thunder,Aleksej Pokusevski,2964840
290,1629048,Indiana Pacers,Goga Bitadze,2957520
291,1629022,San Antonio Spurs,Lonnie Walker IV,2892000
292,1629677,San Antonio Spurs,Luka Samanic,2892000
293,1630182,Dallas Mavericks,Josh Green,2816760
294,1628989,Atlanta Hawks,Kevin Huerter,2761920
295,,Los Angeles Lakers,Alex Caruso,2750000
296,1629680,Philadelphia 76ers,Matisse Thybulle,2711280
297,1630180,Detroit Pistons,Saddiq Bey,2689920
298,1629006,Minnesota Timberwolves,Josh Okogie,2651040
299,,Memphis Grizzlies,Marko Guduric,2625000
300,,Philadelphia 76ers,Vincent Poirier,2619207
301,1629634,Memphis Grizzlies,Brandon Clarke,2602920
302,1630173,Miami Heat,Precious Achiuwa,2582160
303,1629639,Miami Heat,Tyler Herro,2582160
304,201188,Los Angeles Lakers,Marc Gasol,2564753
305,,Atlanta Hawks,Nene Hilario,2564753
306,1628960,Memphis Grizzlies,Grayson Allen,2545320
307,1938,San Antonio Spurs,Manu Ginobili,2500000
308,1629684,Boston Celtics,Grant Williams,2498760
309,1630178,Philadelphia 76ers,Tyrese Maxey,2478840
310,2731,Philadelphia 76ers,Emeka Okafor,2445085
311,2570,Cleveland Cavaliers,Kendrick Perkins,2445085
312,1628990,Washington Wizards,Chandler Hutchison,2443440
313,203092,Atlanta Hawks,Tyler Zeller,2436046
314,1628988,Indiana Pacers,Aaron Holiday,2345640
315,1629647,Oklahoma City Thunder,Darius Bazley,2339160
316,,Milwaukee Bucks,Bryn Forbes,2337145
317,1629660,Oklahoma City Thunder,Ty Jerome,2303040
318,1630192,Denver Nuggets,Zeke Nnaji,2284800
319,203488,Oklahoma City Thunder,Mike Muscala,2283034
320,203463,Los Angeles Lakers,Ben McLemore,2283034
321,1629014,Portland Trail Blazers,Anfernee Simons,2252040
322,,Charlotte Hornets,Brad Wanamaker,2250000
323,,Boston Celtics,Luke Kornet,2250000
324,201943,Milwaukee Bucks,Brandon Jennings,2222803
325,1629642,Portland Trail Blazers,Nassir Little,2210640
326,1630202,Boston Celtics,Payton Pritchard,2193480
327,1630181,Orlando Magic,R.J. Hampton,2193040
328,1628410,Indiana Pacers,Edmond Sumner,2160000
329,1629685,Cleveland Cavaliers,Dylan Windler,2137440
330,1630193,New York Knicks,Immanuel Quickley,2105520
331,,Memphis Grizzlies,John Konchar,2100000
332,1629013,Brooklyn Nets,Landry Shamet,2090040
333,1629673,Golden State Warriors,Jordan Poole,2063280
334,1629626,Denver Nuggets,Bol Bol,2058240
335,,Chicago Bulls,Sean Kilpatrick,2054856
336,1629640,San Antonio Spurs,Keldon Johnson,2048040
337,1629057,Boston Celtics,Robert Williams III,2029920
338,203998,Houston Rockets,Bruno Caboclo,2028594
339,1628980,New York Knicks,Jacob Evans,2017320
340,1629058,Detroit Pistons,Dzanan Musa,2002800
