Rank,idPlayer,Team,Player,Salary
509,1630186,Sacramento Kings,Jahmi'us Ramsey,1000000
510,200794,Denver Nuggets,Paul Millsap,1000000
511,203476,San Antonio Spurs,Gorgui Dieng,1000000
512,,Washington Wizards,Ron Baker,948580
513,1630241,Milwaukee Bucks,Sam Merrill,898310
514,1630187,LA Clippers,Daniel Oturu,898310
515,,Washington Wizards,Anthony Gill,898310
516,,Utah Jazz,Stanton Kidd,898310
517,1630200,San Antonio Spurs,Tre Jones,898310
518,1629604,Portland Trail Blazers,CJ Elleby,898310
519,1630190,Utah Jazz,Elijah Hughes,898310
520,1630198,Philadelphia 76ers,Isaiah Joe,898310
521,1629670,Milwaukee Bucks,Jordan Nwora,898310
522,,Miami Heat,Max Strus,898310
523,1630231,Houston Rockets,Kenyon Martin Jr.,898310
524,1629686,Detroit Pistons,Deividas Sirvydis,898310
525,,Orlando Magic,Isaiah Briscoe,838464
526,203083,Los Angeles Lakers,Andre Drummond,794536
527,201933,Brooklyn Nets,Blake Griffin,776983
528,,Indiana Pacers,Oshae Brissett,757453
529,101141,Utah Jazz,Ersan Ilyasova,754783
530,1629002,Sacramento Kings,Chimezie Metu,700000
531,1627789,Brooklyn Nets,Timothe Luwawu-Cabarrot,654469
532,,Cleveland Cavaliers,Lamar Stevens,652366
533,1630194,Philadelphia 76ers,Paul Reed,609128
534,201952,Milwaukee Bucks,Jeff Teague,510589
535,,New York Knicks,Norvel Pelle,500000
536,,Miami Heat,Dewayne Dedmon,432890
537,202357,Miami Heat,Nemanja Bjelica,432890
538,203953,Boston Celtics,Jabari Parker,430729
539,1628993,Brooklyn Nets,Alize Johnson,399591
540,,Brooklyn Nets,Tyler Cook,396081
541,203079,Los Angeles Lakers,Dion Waiters,375385
542,,Golden State Warriors,Juan Toscano-Anderson,358295
543,,Toronto Raptors,Yuta Watanabe,321893
544,,Philadelphia 76ers,Anthony Tolliver,263501
545,,Memphis Grizzlies,Tim Frazier,255294
546,1629017,Houston Rockets,Khyri Thomas,250000
547,1627745,Sacramento Kings,Damian Jones,237965
548,202326,LA Clippers,DeMarcus Cousins,233095
549,1629021,Orlando Magic,Moritz Wagner,221995
550,,LA Clippers,Yogi Ferrell,214169
551,1626178,Portland Trail Blazers,Rondae Hollis-Jefferson,210895
552,202690,Phoenix Suns,Jimmer Fredette,208509
553,203085,Denver Nuggets,Austin Rivers,188696
554,1628984,Charlotte Hornets,Devonte' Graham,163861
555,,Milwaukee Bucks,Mamadi Diakite,160173
556,1629662,Cleveland Cavaliers,Mfiondu Kabengele,154433
557,,New Orleans Pelicans,Didi Louzada,123056
558,,New Orleans Pelicans,Naji Marshall,120000
559,,Toronto Raptors,Freddie Gillespie,116903
560,1629649,Orlando Magic,Ignas Brazdeikis,49510
561,,Brooklyn Nets,Mike James,39608
562,,Milwaukee Bucks,Elijah Bryant,24611
563,,Washington Wizards,Caleb Homesley,20000
564,,Oklahoma City Thunder,Charlie Brown Jr.,19804
565,,Miami Heat,Omer Yurtseven,18458
566,,Golden State Warriors,Gary Payton II,11898
